alpha,beta,gammaGain,gammaLoss,lambda,errorGain,errorLoss,errorTolerance,rounding,pGain,x0,g,G,nGain,rGain,pLoss,y0,l,L,nLoss,rLoss,pLinking,nLinking,rLinking
0.88,0.88,0.61,0.69,2.25,0.05,0.05,0.00001,FALSE,0.5,1500,300,1000,10,0.5,0.5,-2000,-500,-1000,10,0.5,0.5,3,0.5
0.88,0.88,0.61,0.69,2.25,0.05,0.05,0.00001,TRUE,0.5,1500,300,1000,10,0.5,0.5,-2000,-500,-1000,10,0.5,0.5,3,0.5
